iso3,country,hdicode,region,hdi_rank_2023,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,hdi_2023,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021,le_2022,le_2023,eys_1990,eys_1991,eys_1992,eys_1993,eys_1994,eys_1995,eys_1996,eys_1997,eys_1998,eys_1999,eys_2000,eys_2001,eys_2002,eys_2003,eys_2004,eys_2005,eys_2006,eys_2007,eys_2008,eys_2009,eys_2010,eys_2011,eys_2012,eys_2013,eys_2014,eys_2015,eys_2016,eys_2017,eys_2018,eys_2019,eys_2020,eys_2021,eys_2022,eys_2023,mys_1990,mys_1991,mys_1992,mys_1993,mys_1994,mys_1995,mys_1996,mys_1997,mys_1998,mys_1999,mys_2000,mys_2001,mys_2002,mys_2003,mys_2004,mys_2005,mys_2006,mys_2007,mys_2008,mys_2009,mys_2010,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021,mys_2022,mys_2023,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,gnipc_2022,gnipc_2023
AFG,Afghanistan,Low,SA,181.0,0.285,0.291,0.301,0.311,0.305,0.329,0.334,0.338,0.338,0.347,0.351,0.355,0.383,0.392,0.408,0.417,0.426,0.442,0.446,0.458,0.465,0.474,0.484,0.492,0.497,0.496,0.495,0.496,0.498,0.507,0.501,0.486,0.495,0.496,45.118,45.521,46.569,51.021,50.969,52.103,52.83,53.212,52.487,54.532,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,2.936460018,3.228456167,3.520452316,3.812448465,4.104444614,4.396440763,4.688436912,4.980433061,5.272429209,5.564425358,5.856421507,6.148417656,6.440413805,6.732409954,7.600430012,7.858029938,8.115629864,8.37322979,8.630829716,8.888429642,9.180809975,9.473190308,9.803686778,10.13418325,10.46467972,10.48297477,10.50126982,10.51956487,10.53785992,10.62129205,10.70538475,10.79014324,10.79014324,10.79014324,0.871961963,0.915267456,0.95857295,1.001878443,1.045183937,1.08848943,1.123601992,1.158714555,1.193827117,1.228939679,1.264052241,1.315550666,1.367049091,1.418547515,1.47004594,1.521544365,1.595280745,1.669017126,1.742753507,1.816489888,1.890226268,1.937043018,1.983859768,2.030676517,2.077493267,2.124310017,2.268591682,2.412873348,2.557155013,2.701436679,2.845718344,2.99000001,2.514790058,2.514790058,3642.049616,3192.813684,2990.156395,1993.698011,1425.203987,2034.991008,1852.207871,1690.905132,1554.30396,1425.314494,1331.140022,1246.15844,1946.695886,1982.539949,1963.734915,2084.058077,2193.256889,2729.944476,2496.71817,2802.106865,2822.121231,2947.533545,3148.38478,3245.787894,3214.32395,3087.800291,2818.611013,2783.873555,2758.820419,2969.98769,2797.703558,2151.783518,1960.945925,1971.549458
ALB,Albania,Very High,ECA,71.0,0.654,0.638,0.622,0.624,0.629,0.638,0.647,0.645,0.659,0.671,0.682,0.691,0.697,0.705,0.71,0.723,0.732,0.742,0.749,0.756,0.769,0.781,0.79,0.793,0.797,0.797,0.797,0.798,0.801,0.805,0.794,0.794,0.806,0.81,72.71,73.001,73.303,73.638,73.837,74.022,74.113,73.383,74.357,74.568,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,11.57933998,11.78129959,10.65800953,10.07353973,9.992659569,10.05914021,10.16149998,10.36505985,10.54819012,10.63376045,10.82122358,11.0086867,11.19614983,11.43404007,11.44725037,12.03781033,12.27567959,12.54864025,12.62777996,12.88274002,13.69569969,14.49333954,15.18675995,15.41786957,15.72037029,15.45318031,15.07174015,14.97856045,14.86655045,15.04347038,14.73484993,14.60937023,14.67010021,14.51014996,7.351564574,7.34968678,7.347808986,7.345931191,7.344053397,7.342175603,7.623844744,7.905513884,8.187183025,8.468852166,8.750521307,8.819999695,8.885713986,8.951428277,9.017142568,9.082856859,9.148571151,9.214285442,9.279999733,9.453333219,9.626666705,9.800000191,10.02999973,10.01933975,10.00867977,9.998019791,9.98735981,9.976699829,10.02484799,10.07299615,10.12114431,10.17531099,10.17531099,10.17531099,5622.324727,3968.823966,3602.850619,4079.815592,4484.907216,5177.976857,5593.814373,5006.870923,5515.149238,6231.203421,6754.124612,7400.175732,7706.642493,8175.472685,8637.705395,9129.182117,9815.71748,10467.12957,11094.04948,11306.35911,11851.97418,12312.54001,12412.33733,12865.25494,13019.67144,13381.1968,13902.71937,14256.36107,14813.7759,15013.3742,14553.63559,16035.43576,16945.17025,17627.39404
DZA,Algeria,High,AS,96.0,0.595,0.596,0.601,0.603,0.603,0.608,0.615,0.624,0.634,0.643,0.651,0.659,0.669,0.677,0.685,0.692,0.698,0.704,0.711,0.714,0.718,0.718,0.723,0.727,0.732,0.737,0.743,0.746,0.749,0.753,0.742,0.755,0.761,0.763,67.658,67.692,67.725,67.797,67.284,67.691,68.219,68.859,69.327,70.088,70.576,71.025,71.644,71.906,72.536,72.836,73.116,73.346,73.618,73.871,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,9.797889709,9.823940277,9.909230232,9.915590286,9.986069679,9.958029747,10.12388992,10.41034667,10.69680341,10.98326015,11.22196007,11.46065998,11.86806965,12.13883018,12.47397995,12.72078991,12.81142044,12.98950005,13.43463516,13.87977028,14.23808002,14.46667957,14.55951595,14.65235233,14.74518871,14.83802509,14.93086147,15.02369785,15.11653423,15.20937061,15.30220699,15.39504337,15.48787975,15.4951601,3.91709246,4.100199149,4.283305838,4.466412527,4.649519216,4.832625905,4.98791892,5.143211934,5.298504949,5.453797964,5.609090978,5.683260777,5.757430575,5.831600373,5.905770171,5.979939969,6.170000076,6.230000019,6.289999962,6.053333282,5.816666603,5.579999924,5.760033667,5.94006741,6.120101154,6.300134897,6.480168641,6.660202384,6.840236127,7.020269871,7.215610724,7.416386987,7.416386987,7.416386987,11297.32428,10715.84768,10793.85063,10433.93651,10069.73813,10168.71597,10389.71561,10406.58167,10820.01421,10962.55706,11116.29797,11523.30014,11895.04669,12508.35875,12811.30869,13215.84242,13470.01404,14026.57177,14208.60617,14125.03975,14631.28454,14667.53076,14699.57241,14678.74998,14946.76066,15117.00013,15618.63036,15465.5214,15227.34173,15105.29068,14166.8216,14403.61277,14581.90288,15114.17175
AND,Andorra,Very High,,32.0,,,,,,,,,,,0.825,0.832,0.838,0.84,0.849,0.842,0.851,0.859,0.864,0.866,0.87,0.875,0.876,0.862,0.866,0.869,0.872,0.873,0.875,0.876,0.851,0.871,0.893,0.913,78.961,79.346,79.794,80.186,80.587,80.804,81.009,81.145,81.28,81.55,81.863,82.162,82.448,82.718,82.815,83.086,83.374,83.632,83.855,84.1,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,9.567166927,9.660870218,9.755491263,9.851039052,9.947522659,10.04495125,10.14333409,10.24268051,10.34299995,10.44430195,10.54659613,10.6498922,10.75419998,10.59714985,10.46098995,10.48631954,10.65847969,11.27224493,11.88601017,12.09902763,12.3120451,12.52506256,12.73808002,11.50372028,11.60803986,11.80185032,11.97064018,11.92259026,11.92751026,11.92630959,11.91193008,11.98771,12.7837801,14.54279041,,,,,,,,,,,9.814466572,9.898915551,9.984091174,10.06999969,10.69999981,10.09000015,10.40999985,10.43999982,10.46999979,10.49999976,10.52999973,10.5599997,10.58999968,10.61999965,10.64999962,10.56999969,10.56000042,10.73500029,10.91000017,11.08500004,11.25999991,11.43499978,11.60999966,11.60999966,52196.91896,49681.45974,47200.32351,44445.41114,44560.90327,46291.1816,47469.29332,51200.70339,52285.32007,54156.85079,54809.05705,59108.86606,61188.54236,63656.02206,64353.27412,65114.52265,66390.08272,65533.95523,60691.39571,57203.85951,58284.90191,60470.18429,58172.00039,57331.95037,59928.96765,62104.96036,64402.5872,63239.42225,63048.44054,63215.61817,55488.38734,59332.10303,63913.16447,64631.0749
AGO,Angola,Medium,SSA,148.0,,,,,,,,,,0.379,0.391,0.401,0.417,0.435,0.448,0.463,0.475,0.492,0.504,0.517,0.528,0.545,0.557,0.567,0.577,0.603,0.609,0.61,0.611,0.611,0.61,0.609,0.615,0.616,41.854,43.812,42.267,42.19,43.567,46.139,46.418,46.688,45.452,45.808,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,3.755630016,3.521440029,3.488090038,3.568055034,3.648020029,3.727985024,3.80795002,3.887915015,3.967880011,4.39485838,4.82183675,5.248815119,5.675793489,6.102771858,6.529750228,6.956728597,7.383706967,7.810685337,8.237663706,8.664642076,9.091620445,10.07281971,10.4918,10.9107,11.3297,11.7487,12.16763687,12.1676,12.1676,12.1676,12.1676,12.1676,12.1676,12.1676,,,,,,,,,,3.387140553,3.425745773,3.464791,3.505191693,3.545592386,3.585993079,3.626393772,3.666794465,3.707195158,3.747595851,3.787996544,3.828397237,3.86879793,3.909198623,3.949599316,3.99000001,5.315629959,5.417390823,5.521099768,5.626794086,5.734511785,5.844291601,5.956173009,5.956173009,5.956173009,6558.720345,7317.376878,2808.275404,2755.353142,2108.901389,4615.036001,4554.77158,5365.954236,5254.331989,4742.689405,4964.900553,5009.126104,5902.874086,5932.520736,6240.367881,6823.310463,7180.047405,8052.430051,8222.320249,8870.64231,8754.559189,8707.88202,9194.230072,9423.771811,9694.499032,9611.67273,9011.136033,8581.223459,8000.925845,7462.890759,6980.715433,6806.26114,6836.106305,6631.276544
ATG,Antigua and Barbuda,Very High,LAC,53.0,,,,,,,,,,,,,,,,,,0.827,0.83,0.827,0.828,0.828,0.833,0.835,0.837,0.839,0.842,0.845,0.85,0.851,0.84,0.843,0.848,0.851,73.602,73.472,73.386,73.39,73.493,73.576,73.839,74.045,74.187,74.456,74.819,75.108,75.237,75.313,75.329,75.364,75.506,75.72,76.075,76.386,76.701,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,,,,,,,,,,,,,,,,,,15.63976002,15.56513977,15.49051952,15.58386993,15.30879974,15.58716011,15.57778636,15.56841824,15.55905576,15.54969891,15.54034768,15.53100208,15.5216621,15.51232774,15.50299899,15.50299899,15.50299899,,,,,,,,,,,9.202073771,9.328779548,9.457229971,9.587449062,9.719461174,9.853290995,9.988963554,10.12650422,10.26593873,10.40729314,10.5505939,10.69586781,10.84314203,10.99244411,11.14380197,11.29515983,11.44651769,11.59787555,11.7492334,11.71532228,11.68141116,11.64750004,11.64750004,11.64750004,16710.58505,17587.23808,17649.43448,18567.35448,19390.23484,18150.87023,19056.6359,19872.80759,20499.52502,20861.09054,20262.81533,19779.9718,19690.51893,20749.70665,21528.79608,23165.405,25829.34556,28526.95904,28872.52164,25725.07046,24307.54623,23940.16544,24291.47654,24331.21069,24609.5471,24920.90857,25730.26886,26149.27065,27784.13876,28447.8949,22900.017,24617.25631,26433.71028,27386.51793
ARG,Argentina,Very High,LAC,47.0,0.733,0.739,0.743,0.748,0.753,0.754,0.76,0.768,0.772,0.783,0.789,0.795,0.795,0.804,0.808,0.812,0.822,0.825,0.833,0.835,0.844,0.852,0.85,0.852,0.855,0.859,0.857,0.861,0.861,0.861,0.851,0.847,0.858,0.865,71.615,72.02,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,13.39248967,13.35243988,13.31250985,13.27257983,13.2326498,13.45425487,13.67585993,13.89746499,14.11907005,15.17325974,15.68756962,16.30578041,16.39250946,16.26638985,16.29898071,16.01845932,16.17373085,16.18906021,16.38180923,16.7100296,17.02877998,17.26371956,17.23535919,17.2339592,17.42231941,17.58465958,17.85773087,17.84296989,17.85782051,18.08637047,18.36116028,18.97950935,18.83120918,18.83120918,8.122559492,8.18999958,8.257999611,8.325999641,8.393999672,8.461999702,8.529999733,8.597999763,8.665999794,8.733999825,8.801999855,8.869999886,9.394999981,9.920000076,10.00999991,10.09999975,10.18999958,10.29999971,10.40999985,10.53999996,10.60000038,10.69999981,10.78999996,10.89000034,10.90999985,10.92000008,10.93000031,11.01500034,11.10000038,11.12000036,11.14000034,11.18458184,11.18458184,11.18458184,16405.53757,17856.90978,19221.27328,20647.8112,21524.64943,20563.51382,21380.67713,22816.73077,23342.46514,22262.91825,21829.00539,20594.24855,17684.02858,19287.86302,19297.19149,20754.8302,24187.48166,26278.01206,27101.62224,25086.76404,27445.60411,28905.57472,28438.57992,28870.64399,27871.62728,28379.73414,27396.49286,27761.53299,26467.48901,25601.25381,23151.58354,25560.64022,26607.29661,25876.05307
ARM,Armenia,Very High,ECA,69.0,0.663,0.652,0.618,0.621,0.625,0.631,0.635,0.644,0.655,0.661,0.667,0.672,0.682,0.692,0.7,0.711,0.725,0.739,0.743,0.741,0.747,0.752,0.761,0.766,0.772,0.777,0.783,0.785,0.789,0.796,0.761,0.786,0.801,0.811,67.733,67.801,67.882,68.143,68.448,68.813,69.198,69.592,70.005,70.418,70.812,71.174,71.486,71.734,71.926,72.082,72.219,72.359,72.519,72.714,72.938,73.185,73.44,73.713,73.98,74.229,74.494,74.744,74.978,75.193,68.89,72.552,74.633,75.683,11.20504035,10.74901009,10.31153965,10.7276001,10.47511005,10.17511988,9.8751297,10.15093994,10.73042965,10.87100983,10.72482014,10.50561047,10.54656029,10.58751011,10.62845993,10.88076973,11.33533955,11.92838955,11.69701958,12.23157978,12.42601967,12.55574036,12.85280037,12.80136013,13.07810974,13.13249016,13.57668018,13.76865959,13.82147026,13.99892044,14.07796955,14.43037987,14.40561008,14.3838501,9.783419476,9.853301043,9.923182611,9.993064179,10.06294575,10.13282731,10.20465004,10.27647276,10.34829548,10.4201182,10.49194093,10.48999977,10.55999975,10.62999973,10.69999971,10.76999969,10.83999968,10.90999966,10.97999964,11.04999962,11.1199996,11.18999958,11.28499961,11.37999964,11.47499967,11.56999969,11.68974018,11.18999958,11.23666636,11.28333314,11.32999992,11.34497821,11.34497821,11.34497821,6140.825277,5318.226496,3126.947924,2951.008983,3178.757847,3558.513112,3799.744554,4086.686761,4300.863801,4485.500658,4802.740289,5316.952179,6103.547378,7003.071379,7843.121026,8993.020945,10300.31111,11884.73458,12864.93436,10899.38142,11291.92506,11737.18942,12717.02121,13450.62721,13772.72259,14197.79787,14064.68037,15364.44205,15968.67207,17229.67247,15639.59163,16404.28645,18272.82996,20220.72319
AUS,Australia,Very High,,7.0,0.867,0.868,0.868,0.872,0.873,0.882,0.884,0.887,0.891,0.893,0.897,0.9,0.902,0.906,0.91,0.914,0.917,0.919,0.924,0.927,0.929,0.933,0.938,0.935,0.937,0.938,0.939,0.94,0.945,0.947,0.95,0.954,0.952,0.958,77.041,77.481,77.473,78.006,77.852,78.257,78.344,78.626,79.02,79.277,79.621,80.006,80.052,80.44,80.733,81.092,81.258,81.232,81.427,81.728,82.013,82.091,82.297,82.551,82.518,82.605,82.801,82.718,83.258,83.241,83.664,83.564,82.766,83.923,17.4329358,17.43243413,17.43193246,17.43143082,17.43092918,18.97002983,19.51165962,20.28628922,20.45081096,20.61533271,20.77985446,20.9443762,21.10889795,21.2734197,21.43794145,21.60246319,21.76698494,21.93150669,22.09602843,22.26055018,22.42507193,22.58959368,22.75411542,22.91863717,23.08315892,23.24768066,22.85634995,21.95104027,20.42849922,21.37561989,20.93943977,21.0800209,20.65477943,20.65477943,11.22535724,11.24740705,11.26945686,11.29150667,11.31355648,11.33560629,11.32558365,11.31556101,11.30553836,11.29551572,11.28549308,11.34161987,11.39774666,11.45387344,11.51000023,11.55000019,11.64000034,11.71000004,11.93999958,11.98999977,12.02999973,12.11999989,12.30000019,12.02000046,12.17000008,12.25,12.35000038,12.31999969,12.46000004,12.56000042,12.64000034,12.77999973,12.86999989,12.86999989,30554.24816,29765.46428,29602.99681,30461.59836,31222.55997,32067.46099,33071.99266,34262.21066,35542.70719,36591.17071,37976.60707,38416.24244,39652.27924,40488.25478,42308.52194,43428.91665,44800.9877,46023.91301,47441.48535,48331.83679,48044.94603,50384.49487,52028.95123,51662.83279,51752.21356,51244.17781,50602.687,52180.36416,52892.5044,53812.51606,53837.41334,56782.45814,58256.355,58276.87643
AUT,Austria,Very High,,22.0,0.832,0.835,0.841,0.845,0.851,0.856,0.861,0.865,0.87,0.874,0.879,0.883,0.887,0.889,0.895,0.898,0.902,0.905,0.907,0.907,0.912,0.915,0.916,0.915,0.919,0.919,0.921,0.922,0.925,0.928,0.925,0.93,0.927,0.93,75.739,75.792,75.992,76.225,76.541,76.775,77.026,77.428,77.782,77.955,78.235,78.718,78.846,78.849,79.362,79.52,79.965,80.166,80.363,80.206,80.463,80.828,80.841,81.078,81.39,81.159,81.592,81.639,81.686,81.907,81.804,81.82,81.296,81.956,13.84039021,13.9349699,14.23005962,14.41880989,14.62075996,14.82771015,14.96805954,15.00072956,15.08288002,15.15789445,15.23290888,15.30792332,15.38293775,15.45795218,15.53296661,15.60798105,15.68299548,15.75800991,15.86114979,15.86686993,16.12933922,16.17313004,16.30450058,16.03704071,16.02224922,16.03313065,15.89675999,15.94421005,16.02190971,16.07625008,16.12446976,16.36746025,16.28428078,16.28428078,10.20007837,10.28999996,10.38071428,10.4714286,10.56214292,10.65285724,10.74357155,10.83428587,10.92500019,11.01571451,11.10642883,11.19714315,11.28785746,11.37857178,11.4692861,11.56000042,11.54500008,11.52999973,11.47000027,11.67000008,11.71000004,11.71000004,11.75,11.78999996,12.01000023,12.07999992,12.10999966,12.15999985,12.21000004,12.26000023,12.31062811,12.36146506,12.36146506,12.36146506,46156.05154,47018.33785,47632.10842,47504.83816,48398.93495,49347.00661,50378.13577,51144.87281,52821.06911,53884.08736,55758.36,55923.85349,57135.39927,57498.55772,58750.73079,59419.48988,61359.25292,63102.74827,64043.75835,61363.41902,62287.37144,62981.65807,62700.86206,62391.00553,62502.99636,62182.82572,63620.12025,63623.02784,64705.12572,65534.68727,62011.50517,64408.3855,64374.35362,63479.20843
