sensor_id,country,latitude,longitude,pollutant_type,first_reading,last_reading
7597,Denmark,56.15055846999699,10.200841900263304,co,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
4275083,Denmark,56.15055846999699,10.200841900263304,no,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
6266,Denmark,56.15055846999699,10.200841900263304,no2,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
28456,Denmark,56.15055846999699,10.200841900263304,pm10,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
4275391,Denmark,56.15975999993407,10.193639999730998,no,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
6267,Denmark,56.15975999993407,10.193639999730998,no2,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
6269,Denmark,56.15975999993407,10.193639999730998,o3,2016-11-21T11:00:00Z,2025-09-18T17:00:00Z
10959500,Denmark,56.20719842026212,10.213226594242395,pm1,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
10959498,Denmark,56.20719842026212,10.213226594242395,pm10,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
10959493,Denmark,56.20719842026212,10.213226594242395,pm25,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
10959483,Denmark,56.20719842026212,10.213226594242395,relativehumidity,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
10959492,Denmark,56.20719842026212,10.213226594242395,temperature,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
10959516,Denmark,56.20719842026212,10.213226594242395,um003,2024-10-15T08:00:00Z,2025-09-18T17:00:00Z
12178235,Denmark,56.336029,10.295429,pm1,2025-02-11T18:00:00Z,2025-09-18T17:00:00Z
12178236,Denmark,56.336029,10.295429,pm25,2025-02-11T18:00:00Z,2025-09-18T17:00:00Z
12178237,Denmark,56.336029,10.295429,relativehumidity,2025-02-11T18:00:00Z,2025-09-18T17:00:00Z
12178238,Denmark,56.336029,10.295429,temperature,2025-02-11T18:00:00Z,2025-09-18T17:00:00Z
12178506,Denmark,56.336029,10.295429,um003,2025-02-11T18:00:00Z,2025-09-18T17:00:00Z
722,India,13.0339,77.51321111,co,2016-03-22T03:15:00Z,2018-02-22T02:45:00Z
1518,India,13.0339,77.51321111,no2,2016-03-22T03:15:00Z,2018-02-22T02:45:00Z
13852,India,13.0339,77.51321111,pm25,2016-03-22T03:15:00Z,2018-02-22T02:45:00Z
13853,India,13.0339,77.51321111,so2,2016-03-22T03:15:00Z,2018-02-22T02:45:00Z
1048,India,12.912811110000002,77.60921944,co,2016-03-22T01:00:00Z,2018-02-22T03:00:00Z
1427,India,12.912811110000002,77.60921944,no2,2016-03-22T01:00:00Z,2018-02-22T03:00:00Z
4886,India,12.912811110000002,77.60921944,o3,2016-03-22T01:00:00Z,2018-02-22T03:00:00Z
13836,India,12.912811110000002,77.60921944,pm25,2016-03-22T01:00:00Z,2018-02-22T03:00:00Z
13837,India,12.912811110000002,77.60921944,so2,2016-03-22T01:00:00Z,2018-02-22T03:00:00Z
1384,India,12.9773472,77.5706972222222,co,2016-03-21T14:00:00Z,2018-02-22T03:00:00Z
1383,India,12.9773472,77.5706972222222,no2,2016-03-21T14:00:00Z,2018-02-22T03:00:00Z
1382,India,12.9773472,77.5706972222222,pm10,2016-03-21T14:00:00Z,2018-02-22T03:00:00Z
14096,India,12.9773472,77.5706972222222,so2,2016-03-21T14:00:00Z,2018-02-22T03:00:00Z
5350,India,12.9916694,77.5458305555555,co,2016-03-21T18:30:00Z,2018-02-21T23:45:00Z
5349,India,12.9916694,77.5458305555555,no2,2016-03-21T18:30:00Z,2018-02-21T23:45:00Z
5348,India,12.9916694,77.5458305555555,pm10,2016-03-21T18:30:00Z,2018-02-21T23:45:00Z
14129,India,12.9916694,77.5458305555555,so2,2016-03-21T18:30:00Z,2018-02-21T23:45:00Z
14657,India,12.9135218,77.5950804,co,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235356,India,12.9135218,77.5950804,co,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235357,India,12.9135218,77.5950804,no,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235358,India,12.9135218,77.5950804,no2,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
14639,India,12.9135218,77.5950804,no2,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235359,India,12.9135218,77.5950804,o3,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
14658,India,12.9135218,77.5950804,o3,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
1305377,India,12.9135218,77.5950804,pm10,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235360,India,12.9135218,77.5950804,pm10,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
14635,India,12.9135218,77.5950804,pm25,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235361,India,12.9135218,77.5950804,pm25,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235362,India,12.9135218,77.5950804,relativehumidity,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
14642,India,12.9135218,77.5950804,so2,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235363,India,12.9135218,77.5950804,so2,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
12235364,India,12.9135218,77.5950804,temperature,2018-03-09T06:00:00Z,2025-09-25T04:30:00Z
14779,India,12.9756843,77.5660749,co,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235374,India,12.9756843,77.5660749,co,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235375,India,12.9756843,77.5660749,no,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
14773,India,12.9756843,77.5660749,no2,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235376,India,12.9756843,77.5660749,no2,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235377,India,12.9756843,77.5660749,pm10,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
14775,India,12.9756843,77.5660749,pm10,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
14732,India,12.9756843,77.5660749,so2,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235378,India,12.9756843,77.5660749,so2,2018-03-09T03:30:00Z,2025-10-02T21:00:00Z
12235379,India,12.990328,77.5431385,co,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
15039,India,12.990328,77.5431385,co,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235380,India,12.990328,77.5431385,no,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235381,India,12.990328,77.5431385,no2,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
15035,India,12.990328,77.5431385,no2,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
15033,India,12.990328,77.5431385,pm10,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235382,India,12.990328,77.5431385,pm10,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235383,India,12.990328,77.5431385,relativehumidity,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
15032,India,12.990328,77.5431385,so2,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235384,India,12.990328,77.5431385,so2,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
12235385,India,12.990328,77.5431385,temperature,2018-03-09T06:00:00Z,2025-10-04T08:15:00Z
20173,India,12.920984,77.584908,co,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235262,India,12.920984,77.584908,co,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235263,India,12.920984,77.584908,no,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20175,India,12.920984,77.584908,no2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235264,India,12.920984,77.584908,no2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235265,India,12.920984,77.584908,o3,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20155,India,12.920984,77.584908,o3,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20172,India,12.920984,77.584908,pm10,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235266,India,12.920984,77.584908,pm10,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235267,India,12.920984,77.584908,pm25,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20162,India,12.920984,77.584908,pm25,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235268,India,12.920984,77.584908,relativehumidity,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235269,India,12.920984,77.584908,so2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20152,India,12.920984,77.584908,so2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235270,India,12.920984,77.584908,temperature,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235235,India,12.951913,77.539784,co,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20153,India,12.951913,77.539784,co,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235236,India,12.951913,77.539784,no,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20169,India,12.951913,77.539784,no2,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235237,India,12.951913,77.539784,no2,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235238,India,12.951913,77.539784,o3,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20167,India,12.951913,77.539784,o3,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235239,India,12.951913,77.539784,pm10,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20166,India,12.951913,77.539784,pm10,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235240,India,12.951913,77.539784,pm25,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20165,India,12.951913,77.539784,pm25,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235241,India,12.951913,77.539784,relativehumidity,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
20164,India,12.951913,77.539784,so2,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235242,India,12.951913,77.539784,so2,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235243,India,12.951913,77.539784,temperature,2018-08-10T06:00:00Z,2025-10-04T08:30:00Z
12235280,India,12.917348,77.622813,co,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20171,India,12.917348,77.622813,co,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235281,India,12.917348,77.622813,no,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20154,India,12.917348,77.622813,no2,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235282,India,12.917348,77.622813,no2,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235283,India,12.917348,77.622813,o3,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20168,India,12.917348,77.622813,o3,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235284,India,12.917348,77.622813,pm10,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20161,India,12.917348,77.622813,pm10,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20156,India,12.917348,77.622813,pm25,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235285,India,12.917348,77.622813,pm25,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235286,India,12.917348,77.622813,relativehumidity,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235287,India,12.917348,77.622813,so2,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
20176,India,12.917348,77.622813,so2,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235288,India,12.917348,77.622813,temperature,2018-08-10T06:00:00Z,2025-10-04T06:45:00Z
12235253,India,12.938539,77.5901,co,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20195,India,12.938539,77.5901,co,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235254,India,12.938539,77.5901,no,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235255,India,12.938539,77.5901,no2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20196,India,12.938539,77.5901,no2,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20197,India,12.938539,77.5901,o3,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
12235256,India,12.938539,77.5901,o3,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
20198,India,12.938539,77.5901,pm10,2018-08-10T06:00:00Z,2025-10-04T08:15:00Z
